annee,n_obs,slope,intercept,rvalue,pvalue,stderr,corr_pearson
1987,105,2.493468882150986,7298023680.235352,0.8976803056000395,1.9131200485369433e-38,0.12060207652527297,0.8976803056000395
1988,106,2.615972525374859,12267602691.427307,0.8837132392875303,4.5005902937672066e-36,0.13585564194927421,0.88371323928753
1989,106,2.748507054944523,8185330588.568848,0.8954972634322262,2.3743881987330947e-38,0.13394957373965605,0.8954972634322265
1990,161,2.585618397187235,6967280537.682404,0.8432837044506852,9.991944582427342e-45,0.1306908941833042,0.843283704450685
1991,136,2.7055339897950725,6876161253.974304,0.8356587406999455,1.1047471132693758e-36,0.153617578026687,0.835658740699945
1992,137,2.878636865106801,7570340693.899292,0.8359125777604949,5.49596360512751e-37,0.16267573716938882,0.8359125777604949
1993,138,2.980900264711416,2150093423.8065186,0.830506506779864,2.243250136919358e-36,0.17143405814666948,0.8305065067798637
1994,138,3.184120833374505,2397258881.2899475,0.8353947402759972,3.655152645111038e-37,0.1796449218154823,0.835394740275997
1995,142,3.319826289551905,11122224290.358154,0.8250277665351397,1.6103172302076818e-36,0.19217729791426674,0.8250277665351397
1996,142,3.375891226667588,7288570391.1892395,0.8540713146537772,1.4261870636546903e-41,0.17376561582207192,0.8540713146537772
1997,142,3.5052824596470535,-3795815398.55011,0.8781055941833411,1.1558860664303509e-46,0.16142252947346333,0.8781055941833408
1998,142,3.618967617557463,-12171857152.467804,0.8870736324468307,7.589458755098303e-49,0.15916702955559464,0.887073632446831
1999,142,3.7403923239046906,-17844516427.023743,0.8822030608011577,1.2237666994019785e-47,0.1687270912691574,0.8822030608011582
2000,145,3.860914529809127,-23063034060.494476,0.8868655975085822,8.362671490339577e-50,0.16820239963277048,0.8868655975085822
2001,145,3.9420372410543436,-31954591621.578186,0.8938301594112937,1.1494075458304268e-51,0.16537459610041796,0.8938301594112933
2002,145,3.965424088073898,-30081628211.20865,0.8928740340003521,2.1068871672436664e-51,0.16723980821162784,0.8928740340003527
2003,145,3.993697126348018,-12862894816.343262,0.8728662283146345,2.0918176051723118e-46,0.18669954575420122,0.8728662283146346
2004,173,4.0332942669633365,5052292839.022217,0.8602775841663906,6.583235815242864e-52,0.18278694171250148,0.8602775841663903
2005,174,4.100243953524008,14783350148.897675,0.8549156586504222,6.698107116514081e-51,0.18971189259036503,0.8549156586504224
2006,174,4.171885966515544,25755945110.543335,0.8491160919789164,1.4990900187125607e-49,0.1978812682606253,0.8491160919789159
2007,174,4.301106119934924,47651337741.21478,0.8542365940505754,9.705571769360454e-51,0.1995926710788842,0.854236594050576
2008,147,4.54658062490823,71945923479.25995,0.8627876485811721,8.539748165930944e-45,0.22124591194498003,0.8627876485811719
2009,147,4.407581695753671,63784870342.35217,0.8541977309682176,5.0359883373397835e-43,0.2228015050513665,0.8541977309682176
2010,147,4.415233831342649,82689954614.94696,0.8613780221904279,1.6987354984579017e-44,0.21622666868366625,0.8613780221904276
2011,147,4.613900546651823,110307516952.97583,0.8664937360168885,1.3491484137621959e-45,0.22074094131258482,0.8664937360168885
2012,147,4.784153336641115,101763050030.28442,0.8743846058032759,2.1916122724960943e-47,0.2204800881536887,0.8743846058032757
2013,147,4.942815905284288,96410137615.50934,0.8922194369378049,6.440181516196327e-52,0.2077661192831317,0.8922194369378051
2014,147,5.0933693814395715,92754797991.4245,0.8967160768434738,3.464788159534587e-53,0.2087775234583427,0.8967160768434738
2015,145,5.232624553659009,51009071881.50647,0.9009276249995947,1.0587144074838584e-53,0.2107757922322995,0.9009276249995951
2016,144,5.371228409774519,43225920886.773865,0.8961824595275166,5.709654143354018e-52,0.22315593396509403,0.8961824595275172
2017,144,5.555741987046399,50223055317.4458,0.8999481134587194,4.750806905680362e-53,0.22587280065967485,0.8999481134587192
2018,144,5.760835160389916,53979094558.84296,0.9059986291875358,7.054701142270291e-55,0.22586145484633915,0.9059986291875355
2019,143,5.763954500784087,56023755621.72693,0.8988866480901401,2.2147206438863507e-52,0.23662456698082968,0.8988866480901397
2020,143,5.696084134609658,61407076153.9751,0.8845738980813526,1.492618194640387e-48,0.2529247442481681,0.8845738980813531
2021,142,6.204045062140423,64037775323.876465,0.8998231547721496,2.7344140686681778e-52,0.2542108161054556,0.8998231547721495
2022,142,6.337279731843793,73103136147.41211,0.8865430087951077,1.0337839788092145e-48,0.2795040059984156,0.8865430087951084
