Categorie,Dim1,Dim2
0,-0.5269079770985673,-8.18194832049158e-17
1,-0.3631773165026681,-5.093063270299878e-17
2,-0.17471087843484956,1.4511594288356655e-17
3,0.016024011199491466,1.0204457749721327e-16
4,0.4828130271453945,-3.132031581485955e-17
5,-0.6300548723832063,-1.629814152081784e-17
6,-0.03579725461256216,7.125724249983122e-17
7,0.08193591353805171,4.2898023423129354e-18
8,-0.06321111588211399,2.712615702846262e-18
